휴양림명,소재지도로명주소
거제자연휴양림(거제),경상남도 거제시 동부면 거제중앙로 325
도래재자연휴양림(밀양),경상남도 밀양시 단장면 도래재로 462
송이밸리자연휴양림,강원특별자치도 양양군 양양읍 고노동길 98-50
항노화자연휴양림(항노화힐링랜드),경상남도 거창군 가조면 의상봉길 834
바라산자연휴양림,경기도 의왕시 바라산로 84
산수유자연휴양림,전라남도 구례군 산동면 정산길 251
평창자연휴양림,강원특별자치도 평창군 봉평면 팔송로 285
하동편백자연휴양림,경상남도 하동군 옥종면 돌고지로 1088-51
구재봉자연휴양림,경상남도 하동군 적량면 중서길 60-81
중산자연휴양림(산청),경상남도 산청군 시천면 지리산대로 496-101
덕원자연휴양림(하동),경상남도 하동군 옥종면 옥단로 1443-327
원동자연휴양림(양산),경상남도 양산시 원동면 늘밭로 64
지리산자연휴양림(함양),경상남도 함양군 마천면 음정길 152
남해편백자연휴양림(남해),경상남도 남해군 삼동면 금암로 658
